# name module config scenario fault specification expected
reference-incomplete MC_incomplete MC_incomplete - - - temporal:PushTerminates
log-slot-drop-on-ambiguous LogSlotClaim LogSlotClaim_drop_ambiguous - - - CommittedSegmentsPresent
log-slot-aba-deterministic-bytes LogSlotClaim LogSlotClaim_aba_deterministic - - - CommittedSegmentsMatch
witness-log-slot-sweep LogSlotClaim LogSlotClaim_fix - - - NoOrphanSwept
witness-log-slot-retry LogSlotClaim LogSlotClaim_fix - - - NoRetryCommit
witness-log-slot-ambiguous LogSlotClaim LogSlotClaim_fix - - - NoAmbiguousCommit
witness-log-slot-crash-late LogSlotClaim LogSlotClaim_fix - - - NoCrashLateCommit
composition-fixed ManifestComposition ManifestComposition_fix - - - pass
composition-stale-base-checkpoint ManifestComposition ManifestComposition_stale_base_cp - - - HeadTruthful
composition-stale-base-seal ManifestComposition ManifestComposition_stale_base_seal - - - ColdComplete
composition-no-cp-guard ManifestComposition ManifestComposition_no_cp_guard - - - ColdComplete
composition-no-tips-clause ManifestComposition ManifestComposition_no_tips - - - ColdServable
witness-composition-triple ManifestComposition ManifestComposition_fix - - - NoTripleCommit
witness-composition-trim ManifestComposition ManifestComposition_fix - - - NoTrimmedButComplete
witness-composition-refusal ManifestComposition ManifestComposition_fix - - - NoSealRefusal
witness-composition-skip ManifestComposition ManifestComposition_fix - - - NoGuardSkip
witness-composition-seal-commit ManifestComposition ManifestComposition_fix - - - NoSealCommit
witness-composition-story ManifestComposition ManifestComposition_fix - - - NoCompositeStory
readiness-fixed ReadinessCarry ReadinessCarry_fixed - - - pass
readiness-fixed-restarts ReadinessCarry ReadinessCarry_fixed_restarts - - - pass
readiness-fixed-opener ReadinessCarry ReadinessCarry_fixed_opener - - - pass
readiness-fixed-no-sentinel ReadinessCarry ReadinessCarry_fixed_no_sentinel - - - pass
readiness-apply-carry ReadinessCarry ReadinessCarry_apply_carry - - - pass
witness-readiness-no-carry ReadinessCarry ReadinessCarry_no_carry - - - EditNeverWastes
witness-readiness-birth-zero ReadinessCarry ReadinessCarry_birth_zero - - - EditNeverWastes
bug-readiness-packs-only ReadinessCarry ReadinessCarry_packs_only - - - ReadyNamesInventory
bug-readiness-open-log-loop ReadinessCarry ReadinessCarry_open_log_loop - - - ReconcileSettles
bug-readiness-open-log-stale ReadinessCarry ReadinessCarry_open_log_stale - - - ReadyServesHeld
bug-readiness-open-log-push ReadinessCarry ReadinessCarry_open_log_push - - - ReadyNamesInventory
witness-readiness-open-log-opener ReadinessCarry ReadinessCarry_open_log_opener - - - EditNeverWastes
witness-readiness-annotate-waste ReadinessCarry ReadinessCarry_annotate_waste - - - AnnotateNeverWastes
witness-readiness-apply-waste ReadinessCarry ReadinessCarry_apply_waste - - - ApplyNeverWastes
readiness-fixed-opener-birth ReadinessCarry ReadinessCarry_fixed_opener_birth - - - pass
witness-readiness-open-not-empty-ready ReadinessCarry ReadinessCarry_open_not_empty_ready - - - OpenNeverWastes
witness-readiness-open-waste ReadinessCarry ReadinessCarry_open_waste - - - OpenNeverWastes

# Cache evidence and temporary ownership reference obligations.
cache-discipline-fixed CacheDiscipline CacheDiscipline_fixed - - - pass
bug-cache-sweep-entry CacheDiscipline CacheDiscipline_sweep_entry - - - NoViableVictim
bug-cache-no-occupancy CacheDiscipline CacheDiscipline_no_occupancy - - - NoViableVictim
bug-cache-trust-presence CacheDiscipline CacheDiscipline_trust_presence - - - NoViableVictim
bug-cache-no-identity CacheDiscipline CacheDiscipline_no_identity - - - ClassificationHonest
bug-cache-skip-reprove CacheDiscipline CacheDiscipline_skip_reprove - - - NoViableVictim
bug-cache-fail-open CacheDiscipline CacheDiscipline_fail_open - - - NoFalseCovered
bug-cache-no-cancel-cleanup CacheDiscipline CacheDiscipline_no_cancel_cleanup - - - BoundedLitter
bug-cache-reader-uac CacheDiscipline CacheDiscipline_reader_uac - - - ReaderCompletes
witness-cache-prefetch-rescue CacheDiscipline CacheDiscipline_w_prefetch - - - NoPrefetchRescue
witness-cache-sweep-mid-repair CacheDiscipline CacheDiscipline_w_sweep - - - NoSweepDuringRepair
witness-cache-cancel-recovery CacheDiscipline CacheDiscipline_w_cancel - - - NoCancelRecovery
temp-reclaim-fixed TempReclaim TempReclaim_fixed - - - pass
temp-reclaim-inductive TempReclaim TempReclaim_inductive - - - pass
bug-temp-no-drop-guard TempReclaim TempReclaim_no_drop_guard - - - BoundedLitter
bug-temp-no-sweep TempReclaim TempReclaim_no_sweep - - - BoundedLitter
bug-temp-no-dead-reclaim TempReclaim TempReclaim_no_dead_reclaim - - - BoundedLitter
bug-temp-no-interlock TempReclaim TempReclaim_no_interlock - - - NoLiveVictim
bug-temp-age-authority TempReclaim TempReclaim_age_authority - - - NoLiveVictim
witness-temp-dead-recovery TempReclaim TempReclaim_w_dead - - - NoDeadReclaimRecovery
witness-temp-cancel-recovery TempReclaim TempReclaim_w_cancel - - - NoCancelRecovery
witness-temp-full-occupancy TempReclaim TempReclaim_w_full - - - NoFullOccupancy
witness-temp-lane-reclaim TempReclaim TempReclaim_w_lane - - - NoLaneReclaim
witness-temp-sweep-past-peer TempReclaim TempReclaim_w_peer - - - NoSweepPastPeer
store-conditions StoreConditions StoreConditions - none - pass
bug-store-delete-window StoreConditions StoreConditions - delete - MutationCondition
bug-store-staging-window StoreConditions StoreConditions - staging - MutationCondition
bug-store-invalid-token StoreConditions StoreConditions - invalid - MutationCondition
witness-store-rival-rejection StoreConditions StoreConditions - none - NoRejectedRace
witness-store-delete StoreConditions StoreConditions - none - NoSuccessfulDelete
witness-store-create StoreConditions StoreConditions - none - NoSuccessfulCreate
witness-store-update StoreConditions StoreConditions - none - NoSuccessfulUpdate
